B,lp_bound,lp_round_obj,lp_round_bytes,bytes_over,n_nonzero_z,n_frac_x,two_stage_obj,two_stage_bytes,milp_obj,milp_ok,d,bpd,solve_s
460,45.31586198111275,45.17319442727879,461,1,7,0,47.955981702491535,460,45.31587517357087,True,1266,2.9077280469225357,1.3
492,41.7712362864079,41.7712362864079,492,0,7,0,44.8213740540222,492,41.771236286407834,True,1286,3.0619720206308765,0.67
600,29.99112893655411,29.99112893655411,600,0,6,0,33.073080839709746,600,29.991128936554134,True,1228,3.913326676839873,0.59
428,36.392995348191704,36.392995348191704,428,0,7,0,38.78102639716634,428,36.39299534819173,True,1060,3.235093477986833,0.46
336,70.88883805498196,70.6447728257025,337,1,7,0,75.32564128491411,336,70.8888719480543,True,1261,2.1327462435964266,0.98
659,31.96988430106411,31.96988430106411,659,0,6,0,34.71499769374633,659,31.969884301064102,True,1361,3.8768991179212926,0.68
1069,9.146383979949931,9.146383979949931,1069,0,5,0,9.683100650578076,1069,9.146383979949931,True,1222,6.998504329031189,0.43
989,8.921300486806786,8.910972087876544,990,1,5,0,9.354958444350082,989,8.92130088112324,True,1120,7.069826764725411,1.97
555,38.503245299671825,38.38691768644485,556,1,7,0,41.92712845478589,555,38.503250630656545,True,1306,3.401967630728728,3.0
1224,13.026835882931936,13.026835882931936,1224,0,5,0,14.16681602129961,1224,13.026835882931964,True,1531,6.397856922932007,0.67
825,19.86739082536411,19.86739082536411,825,0,6,0,22.242847792079957,825,19.86739082536415,True,1357,4.864062486851323,0.64
372,76.2165925623977,76.2165925623977,372,0,7,0,80.8195914547962,372,76.21659256239772,True,1346,2.2112392089095865,0.69
133,152.02583476347382,151.3085053467007,134,1,8,0,158.67687393892015,133,152.02639382832814,True,1212,0.8829919096690986,0.72
780,31.058280266005422,31.058280266005422,780,0,6,0,34.81008229611952,780,31.058280266005404,True,1496,4.1757629243385725,0.84
83,210.42305014466572,210.42305014466572,83,0,7,0,217.09573560850617,83,210.42305014466564,True,1272,0.5248293759728255,0.5
614,18.667192015223204,18.667192015223204,614,0,6,0,20.677339674762262,614,18.667192015223204,True,1071,4.593550431391334,0.46
903,8.32068737753638,8.32068737753638,903,0,5,0,9.257764905376721,903,8.320687377536386,True,1107,6.5257529272318475,0.38
532,66.55574597914318,66.55574597914318,532,0,7,0,70.71471097603359,532,66.5557459791433,True,1526,2.7903698487369777,0.89
629,44.289396097615004,44.057184638148684,631,2,7,0,46.95717984899339,629,44.28944522870508,True,1520,3.312260923108706,1.77
133,153.7610283439948,152.99253765077714,134,1,7,0,160.87711073845142,133,153.76113331211462,True,1209,0.8816200243416267,0.63
303,73.61861544663294,73.06974007088577,305,2,8,0,77.821208488123,303,,False,1182,2.0567430965275126,0.47
762,26.238749840725013,26.238749840725013,762,0,6,0,29.15807341440223,762,,False,1408,4.333878929343378,0.65
575,36.085299736953715,36.085299736953715,575,0,6,0,39.13929154924849,575,,False,1311,3.510069980988657,0.56
574,23.073972096863816,23.073972096863816,574,0,6,0,25.830712042240112,574,,False,1090,4.21857033409759,0.4
194,121.46324230983522,120.94856250678181,195,1,8,0,126.97761080957322,194,,False,1229,1.2647781857610765,0.46
747,21.095171460331436,20.978715127245614,749,2,6,0,23.435449949664815,747,,False,1294,4.620039552081761,0.53
155,130.28737307521786,129.70565366584458,156,1,8,0,135.54756682331504,155,,False,1181,1.0565315058533415,0.43
764,26.767699140866654,26.697192814196864,765,1,6,0,29.658678029868312,764,,False,1453,4.210782399702881,0.7
661,33.28795341158263,33.28795341158263,661,0,6,0,35.93105833662956,661,,False,1393,3.7989599968715266,0.62
282,93.39846203163766,92.73228714923941,284,2,8,0,98.71867082986407,282,,False,1306,1.7276013960268806,0.56
562,34.12237382703531,34.12237382703531,562,0,6,0,36.91211180323367,562,,False,1269,3.5477448081063656,0.54
876,9.32091775365335,9.32091775365335,876,0,5,0,10.316041598286658,876,,False,1105,6.348346338894825,0.33
367,83.57970917211667,83.31837554322335,368,1,7,0,89.06033098461157,367,,False,1427,2.061872971976653,0.66
751,32.80588366459006,32.80588366459006,751,0,6,0,36.400942930656456,751,,False,1485,4.048797895035117,0.7
222,147.2471073161023,147.2471073161023,222,0,8,0,154.01252418469767,222,,False,1456,1.22167150056927,0.67
736,25.079191838305903,25.011257924549295,737,1,6,0,27.692218823406755,736,,False,1402,4.204926055886807,0.64
735,15.93972422344656,15.93972422344656,735,0,6,0,17.247035079279964,735,,False,1031,5.705613374824168,0.32
177,91.75679693843395,91.31848244949174,178,1,8,0,95.5595592415583,177,,False,1052,1.349998256841131,0.35
325,107.9020736936786,107.9020736936786,325,0,8,0,113.81024878986463,325,,False,1488,1.7476248736137334,0.69
265,66.05865894935734,66.05865894935734,265,0,8,0,69.37898101021388,265,,False,1047,2.0321889418643804,0.37
991,14.009674155424772,14.009674155424772,991,0,5,0,14.992976748447795,991,,False,1243,6.380280894314497,0.41
396,39.22061164268373,39.22061164268373,396,0,6,0,41.45614743050521,396,,False,1083,2.931612392570046,0.39
857,9.553247312400577,9.553247312400577,857,0,5,0,10.739016013502754,857,,False,1106,6.200530331093971,0.33
611,34.681859310440544,34.681859310440544,611,0,6,0,38.27000164623112,611,,False,1287,3.7990956888333014,0.54
822,9.598606995141493,9.598606995141493,822,0,5,0,10.536979730216986,822,,False,1069,6.158590307964089,0.32
105,136.86940851932036,136.11102270379865,106,1,8,0,142.0208606334051,105,,False,1057,0.8021513502439874,0.34
282,71.07676106839837,70.78279242122822,283,1,7,0,74.85216416801465,282,,False,1136,1.9898399589048652,0.42
190,126.12164735041505,126.12164735041505,190,0,8,0,131.46532465415515,190,,False,1276,1.194306214514342,0.5
290,93.66600862143501,93.3537730576347,291,1,8,0,98.62538808943799,290,,False,1378,1.6888141426905825,0.6
978,7.323421673340836,7.323421673340836,978,0,5,0,7.5991998329660575,978,,False,1078,7.263218706078773,0.27
103,208.68187803130647,208.68187803130647,103,0,8,0,215.23403868195277,103,,False,1340,0.6205747486817599,0.53
1125,15.458960345312702,15.458960345312702,1125,0,5,0,17.25024140947452,1125,,False,1484,6.069045449488048,0.58
617,19.497027429167705,19.497027429167705,617,0,6,0,21.812431354689828,617,,False,1080,4.573491371713366,0.39
897,16.312627765501333,16.312627765501333,897,0,6,0,18.601521368768868,897,,False,1364,5.264083862262818,0.55
156,163.48703425733504,162.7954774616372,157,1,8,0,170.5132417930103,156,,False,1392,0.9022862992880735,0.59
830,24.997809069640446,24.997809069640446,830,0,6,0,28.73556454016848,830,,False,1435,4.630193921397937,0.64
1270,10.691178212906603,10.691178212906603,1270,0,5,0,11.127891788609656,1270,,False,1398,7.267680964865475,0.43
177,130.10443236685046,129.53452145091725,178,1,8,0,134.56949650801747,177,,False,1270,1.115486199700996,0.5
420,68.40468764723268,68.40468764723268,420,0,7,0,72.19352946464558,420,,False,1421,2.3654678041060846,0.66
992,14.32477423290097,14.32477423290097,992,0,5,0,16.186569118954132,992,,False,1346,5.89715372115977,0.49
1044,7.5825190190646365,7.576127765693365,1045,1,5,0,7.74258822821522,1044,,False,1124,7.43726421514247,0.27
870,20.15518578918898,20.15518578918898,870,0,6,0,23.022071493006187,870,,False,1455,4.787227190026273,0.66
219,87.49275045455077,86.42421656258107,222,3,8,0,93.06019437514794,219,,False,1101,1.5945150710511327,0.4
926,14.549736460460814,14.549736460460814,926,0,5,0,16.225494674811273,926,,False,1301,5.698050578773311,0.48
602,38.8569925696774,38.8569925696774,602,0,6,0,42.091378285511695,602,,False,1363,3.5377864487242947,0.61
505,30.05315241389971,30.05315241389971,505,0,6,0,32.81816177014646,505,,False,1100,3.6729598034047446,0.41
126,124.07129130398062,124.07129130398062,126,0,8,0,129.90186278983987,126,,False,1081,0.9334625041106068,0.36
862,24.244413220420032,24.244413220420032,862,0,6,0,27.13990380720847,862,,False,1481,4.661551502547229,2.2
413,66.6938740934434,66.48947772471473,414,1,7,0,69.99487964970092,413,,False,1312,2.5243200315626098,0.57
974,15.34998129320926,15.34998129320926,974,0,5,0,17.188966917934167,974,,False,1337,5.830027882125951,0.49
475,56.87592500485918,56.87592500485918,475,0,6,0,61.22089410345819,475,,False,1342,2.833509220993445,0.59
606,23.430487514063024,23.430487514063024,606,0,6,0,26.160190901158163,606,,False,1187,4.08951009069843,0.47
669,21.330391065122605,21.204830022411226,671,2,6,0,24.02422458907215,669,,False,1220,4.390599120563551,0.49
391,83.52953547338784,83.52953547338784,391,0,7,0,88.51461128573092,391,,False,1482,2.115988898504264,0.7
124,146.90515620476845,146.1294269579303,125,1,8,0,153.20894155847435,124,,False,1142,0.8716295539987523,0.41
468,60.83090682476113,60.65027058814488,469,1,7,0,64.32115490477503,468,,False,1382,2.710976541002775,0.63
929,18.857537877226882,18.857537877226882,929,0,6,0,21.295449086594054,929,,False,1426,5.215803037230401,0.59
1004,16.540312672389522,16.540312672389522,1004,0,6,0,18.927977414091576,1004,,False,1419,5.66071338728216,0.54
87,237.07014251974502,237.07014251974502,87,0,8,0,245.2321146619441,87,,False,1289,0.544825984681046,0.48
672,33.28022918297779,33.28022918297779,672,0,6,0,36.25423695484896,672,,False,1396,3.8536119123093964,0.63
833,11.356150814900047,11.356150814900047,833,0,5,0,12.653873588902933,833,,False,1149,5.800457699311252,0.39
1245,11.322477085651444,11.322477085651444,1245,0,5,0,12.296859058536882,1245,,False,1501,6.63833427119992,0.52
820,17.912016072202647,17.912016072202647,820,0,6,0,19.34200773220785,820,,False,1142,5.746758545179808,0.39
1160,11.890405262908653,11.873515864858486,1161,1,5,0,12.87791119579825,1160,,False,1422,6.528798516605538,0.5
96,256.77742008731076,255.53321043317163,97,1,8,0,262.9443567436463,96,,False,1481,0.519048919249632,0.63
885,18.239586801910434,18.239586801910434,885,0,6,0,20.316974221389565,885,,False,1362,5.202139028888689,0.54
988,10.92346405882173,10.902337176916927,989,1,5,0,12.339733186428667,988,,False,1254,6.307677370677012,0.39
695,12.163464752225368,12.163464752225368,695,0,6,0,13.677434701370833,695,,False,1028,5.4102302147151455,0.33
981,6.1931107408162145,6.1931107408162145,981,0,5,0,6.358822458185626,981,,False,1053,7.453522964643107,0.26
612,18.871808157211493,18.871808157211493,612,0,6,0,21.081383892446446,612,,False,1065,4.597617256398308,0.37
1287,12.490893506742735,12.490893506742735,1287,0,5,0,13.059658568609267,1287,,False,1480,6.956813746364655,0.48
752,32.16850417074673,32.084360405047505,753,1,6,0,35.08876444787425,752,,False,1510,3.9844732318028107,0.71
1232,13.392754663783306,13.392754663783306,1232,0,5,0,14.113578579769188,1232,,False,1467,6.719239298791353,0.49
289,114.15399732218363,113.80035873293912,290,1,8,0,119.60783476776442,289,,False,1499,1.5472194266115915,0.69
570,26.208887232297716,26.04738645512396,572,2,6,0,28.552873233565013,570,,False,1113,4.103822596681411,0.41
706,21.882522019685158,21.882522019685158,706,0,6,0,24.457917603879444,706,,False,1258,4.4933607302473035,0.52
266,64.47651765341023,64.20383050328367,267,1,8,0,67.84916273568659,266,,False,1069,1.9932606418719792,0.38
808,30.05454605244379,29.98384993050212,809,1,6,0,32.9170581711785,808,,False,1517,4.262602372023148,0.74
1205,12.118461882738924,12.102769379006922,1206,1,5,0,13.116462237938148,1205,,False,1466,6.57574690471844,0.52
1040,10.462185199373867,10.462185199373867,1040,0,5,0,11.60036654926958,1040,,False,1296,6.424733460814109,0.44
199,161.3196883346471,160.71818534775596,200,1,8,0,168.4789072874785,199,,False,1479,1.0786951300451382,0.67
718,14.16590333671569,14.16590333671569,718,0,6,0,15.952791661933075,718,,False,1101,5.2202234041215005,0.37
1141,13.469787449753465,13.469787449753465,1141,0,5,0,15.069865753670289,1141,,False,1510,6.049914841185377,0.57
907,8.601826276766216,8.601826276766216,907,0,5,0,9.228724849960031,907,,False,1078,6.738004935840115,0.29
486,53.113277232698124,53.113277232698124,486,0,7,0,57.12843040284192,486,,False,1374,2.832698969606314,0.62
904,16.182524434803582,16.155152878617365,905,1,5,0,17.73796508352394,904,,False,1230,5.884677149074092,0.42
260,72.23715796396917,71.96451429114735,261,1,8,0,76.01916160062962,260,,False,1104,1.8862610563760338,0.41
438,29.831231910555868,29.83123191055586,438,0,7,0,32.066681290916264,438,,False,1067,3.289125251547944,0.38
307,61.61634584078115,61.61634584078115,307,0,7,0,65.48960813498991,307,,False,1159,2.1202052848330726,0.45
1366,10.829158667435943,10.829158667435943,1366,0,5,0,11.320820841856499,1366,,False,1514,7.222001035766828,0.45
235,137.08604543829702,137.08604543829702,235,0,8,0,142.96365001617443,235,,False,1460,1.2904543652756844,0.64
752,20.081896023828286,20.081896023828286,752,0,6,0,22.687670349020507,752,,False,1259,4.779780648079934,0.51
834,8.900455149127385,8.900455149127385,834,0,5,0,9.84639615797351,834,,False,1027,6.502975380992053,0.28
