B,lp_bound,lp_round_obj,lp_round_bytes,bytes_over,n_nonzero_z,n_frac_x,two_stage_obj,two_stage_bytes,milp_obj,milp_ok,dataset,d,bpd
96,0.22402747374554396,0.22223153951609503,97,1,4,0,0.22402747374554383,96,0.22402747374554383,True,dbpedia,1536,0.5
192,0.11451789329343566,0.11451789329343566,192,0,5,0,0.11451789329343565,192,0.11451789329343565,True,dbpedia,1536,1.0
384,0.03660270515007382,0.03638776716667293,385,1,5,0,0.0366027051500738,384,0.0366027051500738,True,dbpedia,1536,2.0
576,0.011239418316847709,0.011174071007019499,577,1,6,0,0.011239418316847716,576,0.011239418316847716,True,dbpedia,1536,3.0
768,0.0032444813725193136,0.003244481372519313,768,0,6,0,0.003921390490575161,768,0.0032444813725193145,True,dbpedia,1536,4.0
1152,0.0006032971429693614,0.0006032971429693614,1152,0,3,0,0.0011055200748161242,1152,0.0006032971429693612,True,dbpedia,1536,6.0
80,1.2366418617461143,1.2366418617461143,80,0,6,0,1.4087018452365803,80,1.2366418617461141,True,synth0,112,5.784302368554964
79,0.45874923446435556,0.45874923446435556,79,0,5,0,0.5031840299730144,79,0.4587492344643555,True,synth1,87,7.283600578433903
5,7.181372654975042,7.181372654975042,5,0,4,0,7.597004066815145,5,7.181372654975042,True,synth2,59,0.7413993891861065
13,8.977696225706733,8.454930306758579,14,1,6,0,9.52768458354534,13,8.977750630190085,True,synth3,79,1.4100803885200928
107,1.4022474114436307,1.4022474114436307,107,0,6,0,1.4710623031004744,107,1.4022474114436303,True,synth4,127,6.767716514023179
12,0.5498985187059536,0.5498985187059536,12,0,4,0,0.5833865397648599,12,0.5498985187059537,True,synth5,21,4.573097790363514
30,0.6740311313560838,0.6740311313560838,30,0,5,0,0.7300364070774109,30,0.6740311313560838,True,synth6,39,6.236863677144218
45,0.3688988242950781,0.3688988242950781,45,0,6,0,0.4173134564160656,45,0.3688988242950781,True,synth7,61,6.000491053690139
42,2.3278509466086814,2.238132180327765,43,1,6,0,2.612155105567859,42,2.328218938992842,True,synth8,83,4.074766412450847
25,0.30280889311141285,0.30280889311141285,25,0,3,0,0.3074957140528361,25,0.30280889311141285,True,synth9,27,7.492166422620574
5,7.468790173816073,7.468790173816073,5,0,4,0,7.712698657267535,5,7.468790173816069,True,synth10,61,0.7739450272178796
15,0.3257111320774929,0.3257111320774929,15,0,5,0,0.3648984477784597,15,0.3257111320774929,True,synth11,23,5.334774295959499
54,0.5465404804972402,0.536931274423112,55,1,5,0,0.5686073488409978,54,0.5466062110854573,True,synth12,61,7.083738141562989
66,1.8666302238548769,1.8666302238548769,66,0,6,0,1.9839054570227004,66,1.8666302238548764,True,synth13,122,4.372794196368984
60,0.5294400168383194,0.5294400168383194,60,0,5,0,0.5801984510533859,60,0.5294400168383194,True,synth14,71,6.837782455883387
9,20.320770444516363,19.278513452867706,10,1,4,0,21.387412490175276,9,20.326825733656353,True,synth15,114,0.6395516833524881
7,5.96049664386714,5.96049664386714,7,0,5,0,6.081964976850706,7,5.960496643867138,True,synth16,51,1.196336836719516
26,8.444565616612623,8.444565616612623,26,0,6,0,8.815358088322467,26,8.444565616612621,True,synth17,121,1.7603047651957868
34,3.470261863981856,3.470261863981856,34,0,6,0,3.89411363669162,34,3.470261863981855,True,synth18,91,3.0481039493167303
40,0.9538702339746143,0.9538702339746143,40,0,4,0,1.031880731004754,40,0.9538702339746142,True,synth19,60,5.452065606162067
10,20.3626947161114,20.3626947161114,10,0,5,0,21.12822424684211,10,20.362694716111392,True,synth20,117,0.710824706765837
10,0.2065733234549001,0.16984852331071665,11,1,4,0,0.21652859242568026,10,0.20752226637210183,True,synth21,16,5.485423151835213
49,0.8741215413064014,0.8741215413064014,49,0,5,0,0.9767045154822437,49,0.8741215413064017,True,synth22,69,5.770626385989598
42,1.8214172127426744,1.8214172127426744,42,0,6,0,1.9251864997547696,42,1.8214172127426738,True,synth23,79,4.2594389874000465
54,2.988318128059087,2.988318128059087,54,0,5,0,3.0663036837011073,54,2.988318128059087,True,synth24,123,3.5126338869486506
55,1.550752551020888,1.550752551020888,55,0,6,0,1.8252432505336778,55,1.550752551020888,True,synth25,83,5.389729755194831
73,0.6602175219982106,0.6602175219982106,73,0,5,0,0.6976170488926623,73,0.6602175219982107,True,synth26,92,6.41889886425469
51,0.5149795660410975,0.5149795660410975,51,0,5,0,0.5848865197035378,51,0.5149795660410974,True,synth27,67,6.116240499667247
31,1.377719419058441,1.377719419058441,31,0,5,0,1.673901885617648,31,1.377719419058441,True,synth28,58,4.395756381800677
33,0.5260659996156481,0.5260659996156481,33,0,5,0,0.5805438104767929,33,0.5260659996156483,True,synth29,51,5.2612684043382165
20,0.9488406428251933,0.9488406428251933,20,0,6,0,0.992029707836426,20,0.9488406428251931,True,synth30,48,3.4170307320781945
17,0.984892442861578,0.984892442861578,17,0,5,0,1.044389622889949,17,0.9848924428615783,True,synth31,38,3.7578820362935765
39,0.3992886026309811,0.3853740118845508,40,1,5,0,0.4154417711868652,39,0.3996074882979262,True,synth32,50,6.363725355318438
41,1.191159004644279,1.1366656810482665,42,1,6,0,1.2591654686167018,41,1.1913491356058745,True,synth33,74,4.440682981481007
57,0.33603135283435315,0.33603135283435315,57,0,5,0,0.3429076473691282,57,0.33603135283435315,True,synth34,67,6.907703400756987
92,0.48371027676193196,0.48371027676193196,92,0,5,0,0.5332156683245766,92,0.4837102767619322,True,synth35,105,7.04839265325
35,2.1436096642297917,2.1436096642297917,35,0,5,0,2.292366518286485,35,2.1436096642297917,True,synth36,69,4.144511936849869
26,9.12397285076233,8.480389858621033,28,2,8,0,9.490518895922277,26,9.127416895594198,True,synth37,128,1.6514863533093922
9,0.697423022292087,0.5990682394964096,10,1,6,0,0.7463987663917141,9,0.699631207556286,True,synth38,22,3.4330399947289156
11,7.895383652994819,7.118428660135621,13,2,7,0,7.9125296785553845,11,7.900699140051548,True,synth39,71,1.3504581892916425
36,2.082819186549748,2.082819186549748,36,0,5,0,2.393661915914102,36,,False,synth40,82,3.5207420681943224
32,1.6398533266021558,1.6155286229947772,33,1,6,0,1.6511627878781814,32,,False,synth41,41,6.286413566721508
40,0.4984985634447949,0.4694146505300171,41,1,5,0,0.592652261373115,40,,False,synth42,57,5.712702628105829
12,4.682598779054851,4.319242411207322,13,1,6,0,5.165114945252982,12,,False,synth43,61,1.6103093897442387
84,1.539061681391927,1.539061681391927,84,0,5,0,1.8458697266178656,84,,False,synth44,125,5.431193710358419
51,1.1288856075014468,1.1288856075014468,51,0,5,0,1.2337891827737233,51,,False,synth45,81,5.085879630326048
15,10.374796882549518,9.791318525047473,16,1,7,0,10.918708040712504,15,,False,synth46,85,1.4902440317903745
49,2.616944041980744,2.5476297514460606,50,1,6,0,2.8269655120998176,49,,False,synth47,98,4.055356027132377
31,2.1803960486949596,2.064599553675616,32,1,6,0,2.5478924287570752,31,,False,synth48,72,3.4624087201357314
26,0.5256126219630248,0.5256126219630248,26,0,5,0,0.5695521614182457,26,,False,synth49,40,5.355793298829885
47,3.686166044961319,3.571215789989161,48,1,6,0,4.069282461890942,47,,False,synth50,118,3.2086479329481885
54,1.0606395856803714,1.0606395856803714,54,0,4,0,1.1488629661932603,54,,False,synth51,73,5.96078149529179
15,5.96664863075757,5.96664863075757,15,0,6,0,6.1166988053867,15,,False,synth52,81,1.5618771879537203
32,0.5919006471454971,0.5919006471454971,32,0,6,0,0.6818026455762475,32,,False,synth53,53,4.940285077595491
20,2.0793916662395473,2.0793916662395473,20,0,6,0,2.1639609633495143,20,,False,synth54,58,2.8183066705985946
12,2.125407845852085,2.125407845852085,12,0,5,0,2.1562824489076626,12,,False,synth55,41,2.38254764607359
10,9.591844479604687,9.030311645831459,11,1,7,0,9.901181581530665,10,,False,synth56,89,0.9386432978296568
9,2.045027635861624,2.045027635861624,9,0,4,0,2.165447102592201,9,,False,synth57,33,2.2193516387951986
65,0.8906607294250276,0.8906607294250276,65,0,6,0,0.9422924131311945,65,,False,synth58,89,5.861589559530361
66,1.860527842466433,1.7985391626956648,67,1,6,0,2.031880770198884,66,,False,synth59,117,4.5651350155276855
54,2.3837777368002264,2.3837777368002264,54,0,7,0,2.5950581967938002,54,,False,synth60,118,3.7114283808687074
59,2.431364174060363,2.431364174060363,59,0,6,0,2.676474175768802,59,,False,synth61,118,4.000264979829913
11,0.9087557494624117,0.9087557494624117,11,0,5,0,0.9844285854393944,11,,False,synth62,35,2.5318528697527305
49,4.196381994083587,4.07996099539489,50,1,6,0,4.395754150246689,49,,False,synth63,121,3.302735087865668
107,0.8727367986824945,0.8727367986824945,107,0,6,0,0.9143675986247647,107,,False,synth64,127,6.788947405607386
15,16.935742277667096,16.258757853793476,16,1,7,0,17.140023413080172,15,,False,synth65,104,1.1989595958727635
10,14.371896616929423,14.371896616929423,10,0,7,0,15.20007055701916,10,,False,synth66,116,0.7028766656165514
10,7.350879197822076,7.350879197822076,10,0,6,0,7.883652706690604,10,,False,synth67,67,1.2544641156937422
28,0.8746606910830929,0.8746606910830929,28,0,5,0,0.9881954008626651,28,,False,synth68,48,4.749877910676731
4,1.6804270621064314,1.6804270621064314,4,0,4,0,1.7621670975313508,4,,False,synth69,24,1.533619635245963
7,0.8318979959576247,0.8318979959576247,7,0,3,0,0.8774712883205554,7,,False,synth70,24,2.374029325598785
72,0.9263330569981378,0.8956812524629716,73,1,5,0,1.0794875385230254,72,,False,synth71,102,5.719741266352047
18,0.37847614110540145,0.37847614110540145,18,0,4,0,0.42199440544608235,18,,False,synth72,30,4.950128834075217
17,0.21021529818015813,0.21021529818015813,17,0,3,0,0.21344172081290097,17,,False,synth73,22,6.483950148007077
66,1.1280085708109384,1.1280085708109384,66,0,5,0,1.2487977499776075,66,,False,synth74,87,6.1276678981294195
33,7.894338397638264,7.894338397638264,33,0,8,0,8.175500188316354,33,,False,synth75,121,2.237808816527159
9,2.674249032344827,2.674249032344827,9,0,4,0,2.7953171032859196,9,,False,synth76,39,2.028432394972504
36,1.285703746936477,1.285703746936477,36,0,5,0,1.418106714744999,36,,False,synth77,63,4.673754076641963
61,1.0101436781234165,1.0101436781234165,61,0,5,0,1.082955620003338,61,,False,synth78,81,6.0510874246141455
20,1.5146229174388994,1.5146229174388994,20,0,6,0,1.6152129339768506,20,,False,synth79,52,3.128050429996943
110,0.9980791164080295,0.9980791164080295,110,0,5,0,1.0549651079857574,110,,False,synth80,125,7.0914608924523455
18,0.6143570938954612,0.556639286495906,19,1,5,0,0.7319970534296787,18,,False,synth81,32,4.7393360824717
56,1.0017550196136105,0.9701347652349518,57,1,5,0,1.145782276040827,56,,False,synth82,86,5.271078602781448
64,0.38740018037826374,0.38740018037826374,64,0,4,0,0.41060956811025806,64,,False,synth83,74,6.970457455471584
37,0.890410266413423,0.890410266413423,37,0,5,0,0.9387764793906394,37,,False,synth84,50,5.966744118813958
31,2.141405270927474,2.141405270927474,31,0,8,0,2.188280780688553,31,,False,synth85,72,3.540010919987375
12,2.4885766842418047,2.4885766842418047,12,0,5,0,2.8114015155936345,12,,False,synth86,44,2.2706941066502138
21,6.824358471590225,6.218654997024094,23,2,8,0,7.412987239282674,21,,False,synth87,102,1.70886309474615
104,0.9949487321547447,0.9949487321547447,104,0,5,0,1.0264513279842604,104,,False,synth88,126,6.664728414465612
40,2.480121176911221,2.480121176911221,40,0,6,0,2.527222241193863,40,,False,synth89,69,4.725473043562932
4,2.2240370210451887,2.2240370210451887,4,0,4,0,2.2240370210451883,4,,False,synth90,26,1.3848736526604706
73,0.7007767886325345,0.7007767886325345,73,0,5,0,0.8127063271394375,73,,False,synth91,100,5.871814527164373
67,0.6946680933400726,0.6946680933400726,67,0,5,0,0.8351673802645532,67,,False,synth92,87,6.173160504974117
37,0.645484601449108,0.645484601449108,37,0,6,0,0.6797267035186298,37,,False,synth93,53,5.6589295362215255
9,5.415703936312563,4.747702972908087,11,2,7,0,5.582929564068908,9,,False,synth94,55,1.450367336266532
5,11.589900750157344,10.59165116136959,6,1,3,0,11.676325951077045,5,,False,synth95,83,0.5598950952674021
42,3.3456979102312645,3.345697910231266,42,0,5,0,3.8450281398164146,42,,False,synth96,100,3.383045696951917
64,0.8286604357189273,0.8286604357189273,64,0,5,0,0.9231464264827678,64,,False,synth97,91,5.668767473016086
56,2.2153119933678007,2.2153119933678007,56,0,5,0,2.53344441359167,56,,False,synth98,105,4.3321689912344485
59,2.7416457473759577,2.7416457473759577,59,0,6,0,3.005190618327297,59,,False,synth99,119,4.009605446597737
79,1.6585199220334401,1.6185531227256122,80,1,5,0,1.948042447111803,79,,False,synth100,121,5.227847868027338
77,0.4104003513889104,0.4104003513889104,77,0,5,0,0.4587792282367883,77,,False,synth101,89,6.956435512723543
15,1.3878500946703698,1.3878500946703698,15,0,7,0,1.6097339459687854,15,,False,synth102,40,3.0536411367828187
17,0.5255811214948999,0.5255811214948999,17,0,5,0,0.5922676552232436,17,,False,synth103,32,4.3072959606411105
42,1.3242403200258346,1.3242403200258346,42,0,6,0,1.483777679105192,42,,False,synth104,84,4.025949841157476
13,1.129387554090764,1.129387554090764,13,0,5,0,1.209040378157501,13,,False,synth105,35,3.1200474402881326
3,5.538823218594623,4.998859295838826,4,1,3,0,5.664893019201818,3,,False,synth106,48,0.6380549502904458
20,1.3899826967019866,1.3899826967019866,20,0,7,0,1.5531540853277952,20,,False,synth107,55,2.9436403424625457
3,2.3176379052394585,2.3176379052394585,3,0,3,0,2.830712300865776,3,,False,synth108,17,1.7783813607256098
67,2.226258640563287,2.226258640563287,67,0,6,0,2.4258786731746684,67,,False,synth109,121,4.480328175068714
106,0.9625034551822085,0.9625034551822085,106,0,5,0,1.052098909609159,106,,False,synth110,125,6.791053492576174
19,12.457871429370014,12.457871429370014,19,0,6,0,12.864917472824425,19,,False,synth111,123,1.2940083751171891
67,0.6039307427301714,0.6039307427301714,67,0,5,0,0.7038335354323925,67,,False,synth112,87,6.200955697854653
14,0.41078844248549523,0.3351383965995405,16,2,5,0,0.4745534944569779,14,,False,synth113,26,4.441255576851578
109,1.2231477740944292,1.2231477740944292,109,0,5,0,1.2427046758378733,109,,False,synth114,119,7.349552569882224
78,0.5486323015885137,0.5486323015885137,78,0,5,0,0.6078314509780958,78,,False,synth115,92,6.818331045194255
62,2.536977383124679,2.536977383124679,62,0,5,0,2.6742554279002557,62,,False,synth116,117,4.253907700633413
11,1.9720798676350306,1.725022181432784,12,1,6,0,2.2149107513285617,11,,False,synth117,35,2.66614558516659
1,3.867706202891792,3.867706202891792,1,0,1,0,3.8677062028917915,1,,False,synth118,19,0.5387430767658383
73,0.4587560949711834,0.4587560949711834,73,0,5,0,0.49344001965140133,73,,False,synth119,82,7.180742871781219
10,5.509381346717881,5.1600375878073805,11,1,6,0,5.649478501039321,10,,False,synth120,52,1.631136225529562
68,0.8275009428382641,0.8275009428382641,68,0,5,0,0.8910891335423486,68,,False,synth121,83,6.599433898798535
29,1.3587153573784558,1.2706189768191194,30,1,6,0,1.49556032959334,29,,False,synth122,62,3.762707515303607
102,0.9066754374353521,0.9066754374353521,102,0,5,0,0.9755718568288062,102,,False,synth123,118,6.934275831803617
16,2.314852988928521,2.314852988928521,16,0,7,0,2.4127013056640116,16,,False,synth124,57,2.3775729084529793
46,1.7440107122284068,1.6969895322136466,47,1,5,0,1.798247316858454,46,,False,synth125,78,4.729886648775373
37,3.01605019466775,3.01605019466775,37,0,5,0,3.3028342220670837,37,,False,synth126,95,3.156225264005355
57,0.5506061689577862,0.5506061689577862,57,0,5,0,0.673299703943446,57,,False,synth127,78,5.8685634466473235
64,0.7456655588305008,0.7456655588305008,64,0,5,0,0.914761810979505,64,,False,synth128,98,5.288153144594282
78,1.0527860876115434,1.0527860876115434,78,0,5,0,1.1781158628232058,78,,False,synth129,103,6.0930663836116645
49,0.5467505812935686,0.5467505812935686,49,0,5,0,0.623831519621189,49,,False,synth130,66,6.0061445367526165
118,0.6805664956329301,0.6805664956329301,118,0,4,0,0.7153265056177787,118,,False,synth131,128,7.401457024709649
25,8.08971854882252,7.326821436124863,27,2,6,0,9.070890311827812,25,,False,synth132,104,1.9300790125569112
9,1.4544248518374505,1.325125036759399,10,1,5,0,1.5311651473573615,9,,False,synth133,21,3.6449067283148207
40,0.7954631530514346,0.7954631530514346,40,0,5,0,0.9862205609311269,40,,False,synth134,66,4.913485297799074
53,0.9235911246639594,0.8921961181092775,54,1,6,0,1.0632428828573492,53,,False,synth135,85,5.051442820207095
11,19.595364016734244,19.595364016734244,11,0,5,0,21.058837661837902,11,,False,synth136,112,0.8280108921913081
34,7.136587443120001,6.651743723612271,36,2,7,0,7.645951101432807,34,,False,synth137,123,2.2660337005368856
54,0.5550201164266713,0.5550201164266713,54,0,5,0,0.628202988209619,54,,False,synth138,67,6.48536227218167
75,1.5013301454562866,1.5013301454562866,75,0,6,0,1.7990085787607868,75,,False,synth139,114,5.33012354073944
28,3.617124901401049,3.4444827445300525,29,1,6,0,3.9424776847899987,28,,False,synth140,85,2.712697708012405
23,0.4279245509790425,0.4279245509790425,23,0,5,0,0.5317234111451014,23,,False,synth141,37,4.980787157827296
12,8.688524728289222,7.949833709318395,14,2,7,0,8.802555737461141,12,,False,synth142,99,0.9773402859223258
45,0.4356884688134282,0.4356884688134282,45,0,6,0,0.4965908186144533,45,,False,synth143,62,5.9287891965694675
7,7.7691723914563795,7.7691723914563795,7,0,5,0,8.21347938273889,7,,False,synth144,59,0.9914563687053665
5,2.167287786550086,2.167287786550086,5,0,4,0,2.4046490960865547,5,,False,synth145,27,1.5044891029353047
10,9.791689068952127,8.90861977998281,12,2,7,0,10.213427577393299,10,,False,synth146,92,0.8790035751282645
85,0.6252497224670899,0.6252497224670899,85,0,5,0,0.7274291704230802,85,,False,synth147,103,6.650374539215581
35,0.9771792518167708,0.9771792518167708,35,0,5,0,1.0561304469079216,35,,False,synth148,50,5.6964819012787675
25,0.7289675389542191,0.7289675389542191,25,0,5,0,0.8107019829044012,25,,False,synth149,47,4.4100859817229265
16,5.89257010695047,5.892570106950471,16,0,7,0,6.507812187397974,16,,False,synth150,72,1.862713640634217
3,1.936006161089296,1.3865258517420458,5,2,4,0,1.9480049786160758,3,,False,synth151,22,1.4044719592753339
21,3.1551958990864257,3.0151589518570963,22,1,5,0,3.3517040458930594,21,,False,synth152,52,3.2427573315122498
