bpd,alpha,allocator,code_bytes,bits_sum,bits_per_byte,mse,r@1,r@10,r@100,fit_s,widths
2,0.0,greedy_bytes,384,3072,8.0,2.389820497044008e-05,0.916,0.9250999999999914,0.9424800000000046,7.6,"{0: 164, 1: 413, 2: 459, 3: 307, 4: 147, 5: 44, 6: 2}"
2,0.0,lp,384,3072,8.0,2.3899175502635814e-05,0.917,0.9258999999999913,0.942270000000005,8.2,"{0: 161, 1: 416, 2: 461, 3: 305, 4: 148, 5: 43, 6: 2}"
2,0.5,greedy_bytes,384,3072,8.0,2.7219077152033848e-05,0.929,0.9453999999999927,0.9575700000000131,7.4,"{0: 386, 1: 292, 2: 304, 3: 252, 4: 159, 5: 90, 6: 43, 7: 8, 8: 2}"
2,0.5,lp,384,3072,8.0,2.7219077152033848e-05,0.929,0.9453999999999927,0.9575700000000131,7.9,"{0: 386, 1: 292, 2: 304, 3: 252, 4: 159, 5: 90, 6: 43, 7: 8, 8: 2}"
2,0.5,greedy,384,3072,8.0,2.7219077152033848e-05,0.929,0.9453999999999927,0.9575700000000131,7.3,"{0: 386, 1: 292, 2: 304, 3: 252, 4: 159, 5: 90, 6: 43, 7: 8, 8: 2}"
4,0.0,greedy_bytes,768,5908,7.693,2.6899650442078457e-06,0.96,0.9690999999999955,0.9771000000000128,7.8,"{0: 2, 1: 4, 2: 116, 3: 518, 4: 517, 5: 257, 6: 91, 7: 29, 8: 2}"
4,0.0,lp,768,6144,8.0,2.27306396872909e-06,0.963,0.973399999999996,0.9792200000000126,8.4,"{0: 2, 1: 4, 2: 116, 3: 390, 4: 556, 5: 346, 6: 94, 7: 4, 8: 24}"
4,0.5,greedy_bytes,768,6113,7.96,2.7772006563064626e-06,0.977,0.9807999999999971,0.98447000000001,7.6,"{0: 6, 1: 37, 2: 253, 3: 366, 4: 364, 5: 252, 6: 120, 7: 68, 8: 70}"
4,0.5,lp,768,6144,8.0,2.737204936216977e-06,0.975,0.9802999999999971,0.9844400000000101,8.8,"{0: 3, 1: 50, 2: 233, 3: 364, 4: 368, 5: 256, 6: 131, 7: 50, 8: 81}"
4,0.5,greedy,773,6144,7.948,2.711400640532625e-06,0.972,0.9817999999999973,0.9844000000000099,7.6,"{0: 6, 1: 34, 2: 249, 3: 365, 4: 367, 5: 255, 6: 119, 7: 68, 8: 73}"
6,0.0,greedy_bytes,1152,7466,6.481,8.31760089806836e-07,0.974,0.9833999999999976,0.986190000000009,8.2,"{0: 2, 2: 2, 3: 97, 4: 566, 5: 507, 6: 213, 7: 98, 8: 51}"
6,0.0,lp,1152,9216,8.0,4.756798346837362e-07,0.983,0.9839999999999977,0.9886200000000075,7.9,"{0: 2, 3: 99, 4: 566, 5: 99, 8: 770}"
6,0.5,greedy_bytes,1152,8016,6.958,6.425079673227638e-07,0.982,0.9841999999999977,0.9882800000000078,7.6,"{0: 2, 1: 1, 2: 9, 3: 177, 4: 390, 5: 382, 6: 232, 7: 140, 8: 203}"
6,0.5,lp,1152,9216,8.0,4.891314691164678e-07,0.982,0.9841999999999976,0.9887800000000074,7.8,"{0: 2, 2: 4, 3: 183, 4: 390, 5: 183, 6: 4, 8: 770}"
6,0.5,greedy,1399,9216,6.588,2.902709198519838e-07,0.982,0.9843999999999977,0.9887100000000076,7.7,"{0: 2, 2: 2, 3: 11, 4: 244, 5: 399, 6: 300, 7: 216, 8: 362}"
