bpd,alpha,allocator,code_bytes,bits_sum,bits_per_byte,mse,r@1,r@10,r@100,fit_s,widths
4,0.0,greedy_bytes,512,3893,7.604,3.0471792817115783e-06,0.923,0.9637999999999949,0.975170000000012,8.4,"{0: 3, 1: 75, 2: 180, 3: 145, 4: 218, 5: 289, 6: 97, 7: 12, 8: 5}"
4,0.0,lp,512,4096,8.0,2.495020851492882e-06,0.943,0.9676999999999952,0.9775500000000111,8.4,"{0: 1, 1: 33, 2: 150, 3: 219, 4: 218, 5: 226, 6: 143, 7: 26, 8: 8}"
4,0.5,greedy_bytes,512,3689,7.205,5.281496644020081e-06,0.945,0.9704999999999953,0.9797500000000116,8.1,"{0: 150, 1: 101, 2: 96, 3: 92, 4: 146, 5: 232, 6: 107, 7: 66, 8: 34}"
4,0.5,lp,512,4096,8.0,3.3849379420280454e-06,0.946,0.9734999999999958,0.9814400000000104,8.3,"{0: 68, 1: 106, 2: 127, 3: 138, 4: 146, 5: 138, 6: 138, 7: 84, 8: 79}"
4,0.5,greedy,565,4096,7.25,3.4907589852809908e-06,0.949,0.9732999999999958,0.9813500000000105,8.0,"{0: 92, 1: 108, 2: 106, 3: 93, 4: 120, 5: 214, 6: 152, 7: 77, 8: 62}"
6,0.0,greedy_bytes,768,5434,7.076,6.324825808405877e-07,0.955,0.9768999999999962,0.9838400000000095,8.1,"{0: 1, 2: 4, 3: 156, 4: 190, 5: 168, 6: 262, 7: 158, 8: 85}"
6,0.0,lp,768,6144,8.0,4.192132316529751e-07,0.951,0.9789999999999967,0.9845100000000093,8.1,"{0: 1, 2: 3, 3: 157, 4: 190, 5: 157, 6: 3, 8: 513}"
6,0.5,greedy_bytes,768,5889,7.668,5.121634341776371e-07,0.956,0.9787999999999967,0.9844700000000095,8.1,"{0: 1, 1: 3, 2: 73, 3: 133, 4: 123, 5: 102, 6: 107, 7: 159, 8: 323}"
6,0.5,lp,768,6144,8.0,4.571248963475227e-07,0.956,0.9796999999999967,0.9844800000000096,8.1,"{0: 1, 1: 2, 2: 74, 3: 115, 4: 128, 5: 115, 6: 74, 7: 2, 8: 513}"
6,0.5,greedy,802,6144,7.661,3.997916728258133e-07,0.953,0.9795999999999966,0.9845100000000095,8.1,"{0: 1, 1: 1, 2: 37, 3: 130, 4: 133, 5: 103, 6: 94, 7: 132, 8: 393}"
