bpd,alpha,allocator,code_bytes,bits_sum,bits_per_byte,mse,r@1,r@10,r@100,fit_s,widths
4,0.0,greedy_bytes,64,491,7.672,6.6523128125,0.582,0.6866999999999973,0.7713700000000011,11.1,"{2: 10, 3: 44, 4: 43, 5: 21, 6: 8, 7: 2}"
4,0.0,lp,64,512,8.0,5.6195790625,0.601,0.7051999999999982,0.7917099999999996,11.4,"{2: 10, 3: 33, 4: 46, 5: 29, 6: 8, 8: 2}"
4,0.5,greedy_bytes,64,511,7.984,6.784981875,0.686,0.7622999999999952,0.8375799999999987,11.3,"{1: 4, 2: 19, 3: 32, 4: 29, 5: 22, 6: 12, 7: 5, 8: 5}"
4,0.5,lp,64,512,8.0,6.774005,0.68,0.7665999999999954,0.8393599999999983,11.5,"{1: 4, 2: 19, 3: 32, 4: 29, 5: 22, 6: 12, 7: 4, 8: 6}"
4,0.5,greedy,65,512,7.877,6.72039375,0.687,0.7625999999999953,0.8374799999999987,11.8,"{1: 4, 2: 19, 3: 31, 4: 30, 5: 22, 6: 12, 7: 5, 8: 5}"
6,0.0,greedy_bytes,96,618,6.438,2.251869375,0.683,0.7820999999999944,0.8482999999999972,11.2,"{3: 7, 4: 50, 5: 42, 6: 19, 7: 7, 8: 3}"
6,0.0,lp,96,768,8.0,1.2640504296875,0.791,0.8434999999999925,0.8944600000000036,11.4,"{3: 7, 4: 50, 5: 7, 8: 64}"
6,0.5,greedy_bytes,96,674,7.021,1.6778775,0.76,0.8303999999999934,0.8855100000000007,11.4,"{2: 1, 3: 14, 4: 34, 5: 27, 6: 23, 7: 11, 8: 18}"
6,0.5,lp,96,768,8.0,1.29474953125,0.797,0.8443999999999925,0.8947100000000034,11.6,"{3: 15, 4: 34, 5: 15, 8: 64}"
6,0.5,greedy,117,768,6.564,0.8138308984375,0.793,0.8467999999999931,0.8949200000000033,11.5,"{3: 1, 4: 20, 5: 36, 6: 21, 7: 21, 8: 29}"
