bpd,alpha,allocator,code_bytes,bits_sum,bits_per_byte,mse,r@1,r@10,r@100,fit_s,widths
2,0.0,greedy_bytes,384,3072,8.0,1.982284386952718e-05,0.9,0.9459999999999996,0.9548000000000002,5.9,"{0: 248, 1: 341, 2: 401, 3: 319, 4: 166, 5: 58, 6: 3}"
2,0.0,lp,383,3064,8.0,1.9941800832748414e-05,0.9,0.9439999999999996,0.9548000000000001,8.3,"{0: 251, 1: 340, 2: 401, 3: 317, 4: 167, 5: 57, 6: 3}"
2,0.5,greedy_bytes,384,3072,8.0,2.284534176190694e-05,0.92,0.9519999999999996,0.9653999999999996,7.2,"{0: 456, 1: 241, 2: 265, 3: 241, 4: 172, 5: 97, 6: 46, 7: 15, 8: 3}"
2,0.5,lp,384,3072,8.0,2.278726895650228e-05,0.92,0.9519999999999996,0.9661999999999996,8.5,"{0: 453, 1: 243, 2: 268, 3: 240, 4: 172, 5: 96, 6: 46, 7: 15, 8: 3}"
2,0.5,greedy,384,3072,8.0,2.284534176190694e-05,0.92,0.9519999999999996,0.9653999999999996,5.8,"{0: 456, 1: 241, 2: 265, 3: 241, 4: 172, 5: 97, 6: 46, 7: 15, 8: 3}"
4,0.0,greedy_bytes,768,6083,7.921,1.9727664689222972e-06,0.98,0.9759999999999998,0.9825999999999995,7.2,"{0: 2, 1: 4, 2: 162, 3: 418, 4: 477, 5: 305, 6: 114, 7: 48, 8: 6}"
4,0.0,lp,767,6136,8.0,1.9077596565087635e-06,1.0,0.9719999999999998,0.9835999999999995,8.3,"{0: 2, 1: 9, 2: 159, 3: 387, 4: 480, 5: 331, 6: 131, 7: 9, 8: 28}"
4,0.5,greedy_bytes,768,6144,8.0,2.3864162464936576e-06,0.98,0.9819999999999998,0.9890000000000002,7.3,"{0: 13, 1: 109, 2: 229, 3: 296, 4: 324, 5: 259, 6: 136, 7: 78, 8: 92}"
4,0.5,lp,768,6144,8.0,2.3712404072284698e-06,0.98,0.9819999999999998,0.9884000000000002,7.0,"{0: 10, 1: 110, 2: 232, 3: 296, 4: 325, 5: 257, 6: 137, 7: 77, 8: 92}"
4,0.5,greedy,768,6144,8.0,2.3864162464936576e-06,0.98,0.9819999999999998,0.9890000000000002,7.1,"{0: 13, 1: 109, 2: 229, 3: 296, 4: 324, 5: 259, 6: 136, 7: 78, 8: 92}"
6,0.0,greedy_bytes,1152,7627,6.621,6.309684365987778e-07,1.0,0.9799999999999999,0.9912000000000001,7.3,"{0: 2, 2: 4, 3: 148, 4: 460, 5: 473, 6: 251, 7: 120, 8: 78}"
6,0.0,lp,1152,9216,8.0,3.646361952026685e-07,0.98,0.9879999999999999,0.9905999999999999,7.4,"{0: 2, 3: 152, 4: 460, 5: 152, 8: 770}"
6,0.5,greedy_bytes,1152,8233,7.147,4.833772778511047e-07,0.98,0.9859999999999998,0.9898000000000002,6.1,"{0: 2, 1: 3, 2: 28, 3: 196, 4: 310, 5: 332, 6: 236, 7: 162, 8: 267}"
6,0.5,lp,1152,9216,8.0,3.7383173281947774e-07,0.98,0.9839999999999998,0.9904000000000002,7.4,"{0: 2, 2: 8, 3: 219, 4: 310, 5: 219, 6: 8, 8: 770}"
6,0.5,greedy,1343,9216,6.862,2.551478644212087e-07,0.98,0.9839999999999998,0.9904000000000001,7.1,"{0: 2, 2: 4, 3: 61, 4: 253, 5: 326, 6: 263, 7: 211, 8: 416}"
