bpd,alpha,allocator,code_bytes,bits_sum,bits_per_byte,mse,r@1,r@10,r@100,fit_s,widths
4,0.0,greedy_bytes,64,494,7.719,6.25318671875,0.76,0.9199999999999993,0.9536000000000001,6.5,"{2: 10, 3: 43, 4: 42, 5: 23, 6: 8, 7: 2}"
4,0.0,lp,64,512,8.0,5.445572265625,0.82,0.9299999999999994,0.9584000000000004,6.9,"{2: 10, 3: 34, 4: 44, 5: 30, 6: 8, 8: 2}"
4,0.5,greedy_bytes,64,512,8.0,6.610134375,0.84,0.9279999999999995,0.9704000000000002,6.5,"{1: 5, 2: 19, 3: 32, 4: 28, 5: 21, 6: 12, 7: 4, 8: 7}"
4,0.5,lp,64,512,8.0,6.391818359375,0.84,0.9259999999999995,0.9702,6.4,"{1: 2, 2: 22, 3: 33, 4: 28, 5: 21, 6: 12, 7: 2, 8: 8}"
4,0.5,greedy,64,512,8.0,6.610134375,0.84,0.9279999999999995,0.9704000000000002,6.4,"{1: 5, 2: 19, 3: 32, 4: 28, 5: 21, 6: 12, 7: 4, 8: 7}"
6,0.0,greedy_bytes,96,622,6.479,2.07720546875,0.82,0.9259999999999997,0.9738000000000001,6.5,"{3: 8, 4: 48, 5: 41, 6: 19, 7: 9, 8: 3}"
6,0.0,lp,96,768,8.0,1.16166904296875,0.88,0.9619999999999996,0.9811999999999997,7.0,"{3: 8, 4: 48, 5: 8, 8: 64}"
6,0.5,greedy_bytes,96,674,7.021,1.5668701171875,0.88,0.9619999999999997,0.9767999999999997,6.5,"{2: 1, 3: 15, 4: 32, 5: 29, 6: 22, 7: 10, 8: 19}"
6,0.5,lp,96,768,8.0,1.19986005859375,0.88,0.9639999999999997,0.9817999999999999,6.4,"{3: 16, 4: 32, 5: 16, 8: 64}"
6,0.5,greedy,117,768,6.564,0.7478912109375,0.88,0.9659999999999997,0.9815999999999998,6.6,"{3: 1, 4: 21, 5: 35, 6: 21, 7: 20, 8: 30}"
